Age,Gender,Experience,Education,SE1,SE2,SE3,SE4,IE1,IE2,IE3,IE4,IE5,IE6,IE7,EE1,EE2,EE3,ITS1,ITS2,ITS3,ITS4,ITS5,ITS6,ITS7,ITS8,ITS9,ITS10,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,EM1,EM2,EM3,EM4,EM5,EM6,EM7,EM8,EM9,EM10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,T1,T2,T3,T4,TSE,TIE,TEE,ITST,TE,TA,TC,TEM,TO,TR
1,1,3,2,3,3,4,3,3,4,3,3,3,5,3,4,3,2,4,4,4,4,5,4,4,3,3,5,3,4,4,4,4,4,5,4,4,3,3,3,2,3,4,4,4,4,4,3,3,5,4,3,3,2,4,3,4,3,4,5,4,4,4,4,5,4,4,3,5,5,5,5,5,5,5,5,5,3,2,4,3,3,3.25,3.43,3.0,4.0,3.9,3.4,3.4,4.1,4.8,3.0
1,1,2,3,3,2,4,3,4,5,4,4,4,3,3,4,3,4,3,4,3,3,4,3,4,2,3,3,2,3,1,3,1,3,2,3,3,2,3,3,3,3,3,4,5,4,4,3,4,3,3,1,3,4,3,3,1,3,3,3,3,3,3,4,3,4,3,2,3,4,3,4,3,3,2,3,4,3,4,4,5,4,3.0,3.86,3.67,3.2,2.3,3.5,2.8,3.1,3.2,4.25
2,2,3,2,4,3,4,4,3,4,4,4,3,4,5,4,2,3,3,4,4,4,4,3,4,4,3,3,3,3,2,3,3,3,4,3,3,3,4,4,4,4,4,5,4,5,5,4,5,4,5,5,3,5,5,4,5,5,4,5,3,4,4,5,4,4,4,4,3,5,3,3,3,4,3,4,4,4,2,4,4,3,3.75,3.86,3.0,3.6,3.0,4.3,4.6,4.1,3.6,3.25
1,2,1,2,3,2,3,2,1,2,2,1,1,1,2,4,3,3,2,1,2,1,1,1,2,1,1,1,3,3,3,4,3,3,3,3,3,3,3,2,3,2,2,3,3,4,3,3,3,3,2,1,3,2,3,2,2,2,3,3,3,3,3,4,3,3,4,3,2,3,1,1,2,2,2,2,2,2,2,3,3,3,2.5,1.43,3.33,1.3,3.1,2.8,2.3,3.2,1.9,2.75
1,2,1,2,2,2,3,2,4,4,3,5,5,4,5,3,4,3,5,3,4,4,4,5,5,4,4,3,5,5,4,4,4,5,5,5,5,4,3,5,3,3,4,5,5,5,3,4,5,5,5,5,5,5,5,5,5,5,3,2,2,2,2,3,4,3,3,2,3,4,4,4,3,4,4,4,4,4,3,4,4,4,2.25,4.29,3.33,4.1,4.6,4.0,5.0,2.6,3.8,3.75
2,1,3,3,4,5,5,5,3,5,3,4,3,5,4,5,4,4,5,4,5,4,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,4,5,4,4,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,4,5,3,4,4,4,4,4,4,4,4,5,5,4,4.75,3.86,4.33,4.4,4.9,4.9,4.6,4.9,4.0,4.5
2,2,3,3,5,5,5,5,4,5,4,5,5,5,5,4,2,3,5,5,5,4,5,5,4,5,4,4,5,5,5,4,5,4,5,5,4,4,3,3,4,3,4,4,4,4,4,3,5,5,4,4,3,4,5,4,5,5,5,5,4,5,5,5,5,5,5,5,4,5,3,5,4,4,4,4,4,4,5,5,5,4,5.0,4.71,3.0,4.6,4.6,3.6,4.4,4.9,4.1,4.75
1,2,1,3,5,4,3,4,4,5,4,5,5,4,5,5,3,4,5,4,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,4,4,4,5,4,5,5,4,4,3,4,5,5,5,4,5,5,4,4,5,4,5,5,4,4,5,5,4,5,4,4,4,4,4,5,4,4,5,4,4,5,5,5,5,4.0,4.57,4.0,4.7,4.9,4.2,4.6,4.5,4.2,5.0
1,1,1,2,3,3,5,3,2,2,1,2,1,3,2,4,4,2,3,3,3,4,4,4,3,3,3,4,2,2,3,2,2,2,2,2,2,1,2,3,3,3,3,3,4,4,3,3,3,4,3,2,3,3,3,2,2,3,1,1,2,2,1,2,2,2,2,1,2,4,2,2,3,4,2,3,3,3,2,2,3,2,3.5,1.86,3.33,3.4,2.0,3.1,2.8,1.6,2.8,2.25
1,2,1,2,4,5,5,3,3,4,3,4,2,2,4,5,4,4,3,2,2,2,2,2,3,1,1,2,2,4,3,2,2,3,3,3,3,2,3,4,3,2,3,3,5,4,3,4,4,4,3,3,4,4,4,3,3,3,4,4,3,3,3,4,4,3,4,3,3,4,2,3,4,4,3,4,4,4,2,3,3,3,4.25,3.14,4.33,2.0,2.7,3.4,3.5,3.5,3.5,2.75
3,1,4,3,3,4,4,2,5,5,5,5,5,4,5,5,4,3,2,2,3,2,2,1,3,2,1,3,2,3,2,3,3,4,5,3,4,3,5,5,5,4,4,5,5,5,4,4,3,4,4,4,4,4,4,4,4,4,2,3,2,2,2,4,3,3,3,3,3,3,3,1,2,3,3,2,2,2,4,5,5,5,3.25,4.86,4.0,2.1,3.2,4.6,3.9,2.7,2.4,4.75
2,2,2,2,4,4,4,4,3,3,3,4,2,3,4,3,4,3,4,4,3,4,4,4,5,4,3,4,3,4,3,4,3,3,3,3,3,3,4,3,3,3,4,4,4,2,3,3,3,4,3,3,3,4,4,3,3,4,4,3,3,2,3,4,4,3,4,2,4,4,4,4,3,4,4,5,4,4,2,3,3,3,4.0,3.14,3.33,3.9,3.2,3.3,3.4,3.2,4.0,2.75
3,1,4,1,4,4,4,4,3,4,4,5,4,4,3,5,3,4,5,4,4,4,4,4,4,4,5,4,5,5,4,4,5,4,5,5,5,4,3,5,4,4,4,5,5,4,4,3,4,4,3,3,4,4,4,3,4,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.0,3.86,4.0,4.2,4.6,4.1,3.7,4.8,5.0,5.0
1,2,2,2,1,2,2,2,4,4,4,4,4,4,4,5,5,3,3,3,3,4,3,2,3,2,2,2,3,4,2,4,3,3,3,4,3,3,4,3,3,4,4,4,5,5,4,5,4,5,3,4,5,4,5,4,3,5,1,1,1,2,1,2,2,1,2,2,2,3,2,2,3,4,2,2,4,2,5,5,5,5,1.75,4.0,4.33,2.7,3.2,4.1,4.2,1.5,2.6,5.0
2,2,3,2,2,3,4,2,5,5,5,5,5,5,5,5,3,3,5,4,4,3,5,4,4,4,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,4,5,5,3,5,4,3,4,4,2,4,4,2,4,3,5,5,5,5,5,4,5,5,5,5,2,3,4,3,2.75,5.0,3.67,4.1,4.9,4.9,4.3,3.4,4.9,3.0
2,2,3,1,4,5,4,3,4,4,3,4,4,4,4,5,3,4,5,5,4,5,4,5,4,4,5,4,4,4,4,4,4,4,5,4,5,4,3,4,3,3,4,4,4,4,4,5,4,4,4,4,3,4,5,4,5,4,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,2,3,3,2,2,3,3,3,4.0,3.86,4.0,4.5,4.2,3.8,4.1,2.9,2.7,2.75
1,2,2,1,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,4,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,4,5,5,5,5,5,5,5,4.5,5.0,5.0,4.5,4.9,5.0,4.9,4.8,4.8,5.0
2,2,3,2,3,4,3,4,2,3,3,3,3,3,3,5,5,4,4,4,3,4,5,4,5,3,3,4,5,5,4,5,4,5,5,5,5,4,3,5,3,4,4,5,5,5,4,4,5,5,4,5,5,5,5,5,5,5,3,4,5,4,4,4,5,4,5,3,5,5,4,4,5,5,5,5,5,5,5,5,5,5,3.5,2.86,4.67,3.9,4.7,4.2,4.9,4.1,4.8,5.0
2,2,3,3,2,1,3,3,4,5,4,3,4,3,5,3,2,2,3,3,4,4,4,2,5,2,3,3,2,2,1,2,2,2,3,3,2,2,3,5,3,4,3,4,4,5,3,4,3,3,2,3,3,4,3,3,3,3,3,3,4,4,3,5,4,4,3,4,1,2,1,2,1,2,2,1,1,1,3,4,4,3,2.25,4.0,2.33,3.3,2.1,3.8,3.0,3.7,1.4,3.5
2,2,2,1,1,1,2,2,3,4,4,4,4,3,4,3,1,3,4,3,2,3,1,4,3,3,3,3,5,4,3,4,4,5,5,5,4,4,3,4,4,3,3,5,4,4,4,3,3,2,2,2,3,3,3,2,2,3,2,2,1,1,1,2,2,2,2,2,3,4,4,3,3,4,2,4,4,3,2,3,3,3,1.5,3.71,2.33,2.9,4.3,3.7,2.5,1.7,3.4,2.75
1,1,1,2,3,3,4,2,4,4,3,3,4,4,3,4,4,4,5,5,5,5,5,5,5,5,4,5,3,4,3,4,3,4,4,4,4,3,3,2,3,2,3,2,3,3,3,2,4,4,4,4,4,4,4,3,4,5,4,3,2,4,3,4,3,3,4,3,4,5,4,4,3,4,3,4,4,4,2,4,4,4,3.0,3.57,4.0,4.9,3.6,2.6,4.0,3.3,3.9,3.5
1,1,1,2,4,4,5,3,4,5,4,5,4,4,4,5,3,4,4,4,4,4,3,3,4,3,3,3,4,4,4,4,5,4,4,4,4,3,4,4,3,4,4,4,4,4,3,3,5,5,3,4,3,5,4,3,4,4,5,4,5,4,4,5,5,5,5,5,4,5,4,4,4,4,3,5,5,3,3,4,4,4,4.0,4.29,4.0,3.5,4.0,3.7,4.0,4.7,4.1,3.75
2,2,4,2,2,3,3,3,2,3,3,3,4,3,3,5,4,4,3,1,2,1,2,2,4,2,2,1,3,3,2,4,4,4,4,3,3,2,2,4,3,3,3,4,4,4,3,4,4,5,4,3,4,5,5,4,5,5,3,4,4,3,3,4,3,5,3,3,3,3,3,3,4,4,2,3,3,4,4,3,3,3,2.75,3.0,4.33,2.0,3.2,3.4,4.4,3.5,3.2,3.25
